Parent Cas#	Parent Chem. Name	Parent Smiles	Parent Map reliability	Parent Liver_Muta	Parent in vivo Liver predicted Clastogen	Parent Invitro predictions	Parent Mechanism	Parent Alert info	Parent ModelReliability	Parent Type of detoxification	Parent detoxification paths	Parent Parameter ranges	Parent Structural domain				Parent Total Domain	Metabolite in vivo Liver predicted Clastogen	Metabolite Invitro predictions	Metabolite Mechanism	Metabolite Alert info	Metabolite ModelReliability	Metabolite Type of detoxification	Summary Map reliability	Summary in vivo Liver predicted Clastogen	Summary Mechanism	Summary Alert info	Summary ModelReliability	Summary Type of detoxification	Summary detoxification paths	Summary Total Domain
298-00-0	Parathion-methyl	COP(=S)(OC)Oc1ccc(N(=O)=O)cc1	0.3478	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	"Alkylphosphates, Alkylthiophosphates and Alkylphosphonates"	Undetermined (0 <n< 10)	 	 	In domain	18.18%	0.00%	81.82%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	"Alkylphosphates, Alkylthiophosphates and Alkylphosphonates"	Undetermined (0 <n< 10)	 	0.3478	in vivo Liver Clastogen positive	Interaction with DNA 	"Alkylphosphates, Alkylthiophosphates and Alkylphosphonates"	Undetermined (0 <n< 10)	 	 	Out of Domain
61869-08-7	Paroxetine	Fc1ccc(C2CCNCC2COc2ccc3c(c2)OCO3)cc1	0.2735	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	35.71%	0.00%	64.29%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.2735	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
37680-73-2	"PCB 101 (2,2',4,5,5'-Pentachlorobiphenyl)"	Clc1ccc(Cl)cc1-c1cc(Cl)c(Cl)cc1Cl	0.6776	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	14.29%	0.00%	85.71%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.6776	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
32598-14-4	"PCB 105 (2,3,3',4,4'-Pentachlorobiphenyl)"	Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)cc1Cl	0.5809	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	14.29%	0.00%	85.71%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.5809	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
74472-37-0	"PCB 114 (1,1'-Biphenyl, 2,3,4,4',5-pentachloro-)"	Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1	1	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	14.29%	0.00%	85.71%	Out of domain	Out of Domain	 	 	 	 	 	 	1	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
31508-00-6	"PCB 118 (2,3'4,4',5-Pentachlorobiphenyl)"	Clc1ccc(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl	0.8676	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	14.29%	0.00%	85.71%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.8676	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
65510-44-3	"PCB 123 (1,1'-Biphenyl, 2',3,4,4',5-pentachloro-)"	Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2)c(Cl)c1	0.5181	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	28.57%	0.00%	71.43%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.5181	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
57465-28-8	"PCB 126 (3,3',4,4',5-Pentachlorobiphenyl)"	Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2)cc1Cl	0.556	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	14.29%	0.00%	85.71%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.556	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
35065-28-2	"PCB 138 (2,2',3,4,4',5-Hexachlorobiphenyl)"	Clc1ccc(-c2cc(Cl)c(Cl)cc2Cl)c(Cl)c1Cl	0.7419	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.7419	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
35065-27-1	"PCB 153 (2,2'4,4',5,5'-Hexachlorobiphenyl)"	Clc1cc(Cl)c(Cl)cc1-c1cc(Cl)c(Cl)cc1Cl	0.7955	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.7955	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
38380-08-4	"PCB 156 (2,3,3´,4,4´,5-Hexachlorbiphenyl)"	Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl	1	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	12.50%	0.00%	87.50%	Out of domain	Out of Domain	 	 	 	 	 	 	1	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
69782-90-7	"PCB 157 (2,3,3´,4,4´,5´-Hexachlorbiphenyl)"	Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2)c(Cl)c1Cl	0.5625	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.5625	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
52663-72-6	"PCB 167 (2,3´,4,4´,5,5´-Hexachlorbiphenyl)"	Clc1cc(-c2cc(Cl)c(Cl)cc2Cl)cc(Cl)c1Cl	0.6548	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.6548	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
32774-16-6	"PCB 169 (3,3'4,4',5,5'-Hexachlorobiphenyl)"	Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2)cc(Cl)c1Cl	0.5307	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.5307	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
35065-29-3	"PCB 180 (2,2',3,4,4',5,5'-Heptachlorobiphenyl)"	Clc1cc(Cl)c(Cl)cc1-c1cc(Cl)c(Cl)c(Cl)c1Cl	0.8594	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.8594	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
39635-31-9	"PCB 189 (2,3,3´,4,4´,5,5´-Heptachlorbiphenyl)"	Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc(Cl)c1Cl	0.7059	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	Epoxides and Aziridines	 	 	0.7059	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
7012-37-5	"PCB 28 (2,4,4'-Trichlorobiphenyl)"	Clc1ccc(-c2ccc(Cl)cc2Cl)cc1	0.4893	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	60.00%	0.00%	40.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.4893	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
35693-99-3	"PCB 52 (2,2',5,5'-Tetrachlorobiphenyl)"	Clc1ccc(Cl)cc1-c1cc(Cl)ccc1Cl	0.3312	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	33.33%	0.00%	66.67%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.3312	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
32598-13-3	"PCB 77 (3,3',4,4'-Tetrachlorobiphenyl)"	Clc1ccc(-c2ccc(Cl)c(Cl)c2)cc1Cl	0.5792	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	33.33%	0.00%	66.67%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.5792	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
70362-50-4	"PCB 81 (1,1'-Biphenyl, 3,4,4',5-tetrachloro-)"	Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2)cc1	0.5004	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	16.67%	0.00%	83.33%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.5004	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
59-50-7	p-Chlorocresol	Cc1cc(O)ccc1Cl	0.4369	No data	in vivo Liver Clastogen negative	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	Belongs to deacivated path	21. Phenolic Derivatives	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	Belongs to deacivated path	0.4369	in vivo Liver Clastogen negative	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	Belongs to deacivated path	21. Phenolic Derivatives	Out of Domain
*-46-9	PeCDD (Pentachlorodibenzo-p-dioxins)	 																													
*-47-0	PeCDF (Pentachlorodibenzofurans)	 																													
40487-42-1	Pendimethalin	CCC(CC)Nc1c(N(=O)=O)cc(C)c(C)c1N(=O)=O	0.1723	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	"Nitroaniline Derivatives,Polynitroarenes,N-Substituted Aromatic Amines"	 	 	 	In domain	53.33%	0.00%	46.67%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	"Nitroaniline Derivatives,Polynitroarenes,N-Substituted Aromatic Amines"	 	 	0.1723	in vivo Liver Clastogen negative	 	"Nitroaniline Derivatives,Polynitroarenes,N-Substituted Aromatic Amines"	 	 	 	Out of Domain
61-33-6	Penicillin G	CC1(C)C(C(O)=O)N2C(C(NC(=O)Cc3ccccc3)C2=O)S1	0.8095	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	50.00%	0.00%	50.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.8095	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
608-93-5	Pentachlorobenzene	Clc1cc(Cl)c(Cl)c(Cl)c1Cl	0.6142	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	Substituted Phenols	 	 	0.6142	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
76-74-4	Pentobarbital	CCCC(C)C1(CC)C(=O)NC(O)=NC1=O	0.1246	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	31.25%	6.25%	62.50%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	Pyrimidines and Purines	 	 	0.1246	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
06-05-93	Pentoxifyline	CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C)C1=O	0.0491	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Pyrimidines and Purines	 	 	 	In domain	20.00%	0.00%	80.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.0491	in vivo Liver Clastogen negative	 	Pyrimidines and Purines	 	 	 	Out of Domain
376-06-7	Perfluorotetradecanoic acid	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	1	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	Geminal Polyhaloalkane Derivatives	Undetermined (0 <n< 10)	 	 	Out of domain	4.65%	0.00%	95.35%	Out of domain	Out of Domain	 	 	 	 	 	 	1	in vivo Liver Clastogen positive	Interaction with DNA 	Geminal Polyhaloalkane Derivatives	Undetermined (0 <n< 10)	 	 	Out of Domain
52645-53-1	Permethrin (mix of isomers)	CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1	0.1953	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Haloalkenes with Electron-Withdrawing Groups 	 	 	 	In domain	25.00%	6.25%	68.75%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	Haloalkenes with Electron-Withdrawing Groups 	 	 	0.1953	in vivo Liver Clastogen negative	 	Haloalkenes with Electron-Withdrawing Groups 	 	 	 	Out of Domain
198-55-0	Perylene	c1ccc2cccc3c2c1c1cccc2cccc3c12	0	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Polycyclic Aromatic Hydrocarbon and Naphthalenediimide Derivatives	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	Polycyclic Aromatic Hydrocarbon and Naphthalenediimide Derivatives	Undetermined (0 <n< 10)	 	0	in vivo Liver Clastogen positive	Interaction with DNA 	Polycyclic Aromatic Hydrocarbon and Naphthalenediimide Derivatives	Undetermined (0 <n< 10)	 	 	Out of Domain
106700-29-2	Pethoxamid	CCOCCN(C(=O)CCl)C(=C(C)C)c1ccccc1	0.1871	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	alpha-Activated Haloalkanes	Undetermined (0 <n< 10)	 	 	In domain	33.33%	0.00%	66.67%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	alpha-Activated Haloalkanes	Undetermined (0 <n< 10)	 	0.1871	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	alpha-Activated Haloalkanes	Undetermined (0 <n< 10)	 	 	Out of Domain
375-22-4	PFBA (Perfluorobutanoic acid)	OC(=O)C(F)(F)C(F)(F)C(F)(F)F	1	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	Geminal Polyhaloalkane Derivatives	Undetermined (0 <n< 10)	 	 	In domain	15.38%	0.00%	84.62%	Out of domain	Out of Domain	 	 	 	 	 	 	1	in vivo Liver Clastogen positive	Interaction with DNA 	Geminal Polyhaloalkane Derivatives	Undetermined (0 <n< 10)	 	 	Out of Domain
45187-15-3	PFBS (Perfluorobutanesulfonate)	OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	N/A	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	Geminal Polyhaloalkane Derivatives	Undetermined (0 <n< 10)	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	 	 	 	 	 	 	N/A	in vivo Liver Clastogen positive	Interaction with DNA 	Geminal Polyhaloalkane Derivatives	Undetermined (0 <n< 10)	 	 	Out of Domain
335-76-2	PFDA (Perfluorodecanoate)	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	1	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	Geminal Polyhaloalkane Derivatives	Undetermined (0 <n< 10)	 	 	In domain	6.45%	0.00%	93.55%	Out of domain	Out of Domain	 	 	 	 	 	 	1	in vivo Liver Clastogen positive	Interaction with DNA 	Geminal Polyhaloalkane Derivatives	Undetermined (0 <n< 10)	 	 	Out of Domain
375-85-9	PFHpA (Perfluoroheptanoate)	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	1	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	Geminal Polyhaloalkane Derivatives	Undetermined (0 <n< 10)	 	 	In domain	9.09%	0.00%	90.91%	Out of domain	Out of Domain	 	 	 	 	 	 	1	in vivo Liver Clastogen positive	Interaction with DNA 	Geminal Polyhaloalkane Derivatives	Undetermined (0 <n< 10)	 	 	Out of Domain
307-24-4	PFHxA (Perfluorohexanoate)	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	1	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	Geminal Polyhaloalkane Derivatives	Undetermined (0 <n< 10)	 	 	In domain	10.53%	0.00%	89.47%	Out of domain	Out of Domain	 	 	 	 	 	 	1	in vivo Liver Clastogen positive	Interaction with DNA 	Geminal Polyhaloalkane Derivatives	Undetermined (0 <n< 10)	 	 	Out of Domain
375-95-1	PFNA (Perfluorononanoate)	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	1	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	Geminal Polyhaloalkane Derivatives	Undetermined (0 <n< 10)	 	 	In domain	7.14%	0.00%	92.86%	Out of domain	Out of Domain	 	 	 	 	 	 	1	in vivo Liver Clastogen positive	Interaction with DNA 	Geminal Polyhaloalkane Derivatives	Undetermined (0 <n< 10)	 	 	Out of Domain
335-67-1	PFOA (Perfluorooctanoate)	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	1	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	Geminal Polyhaloalkane Derivatives	Undetermined (0 <n< 10)	 	 	In domain	8.00%	0.00%	92.00%	Out of domain	Out of Domain	 	 	 	 	 	 	1	in vivo Liver Clastogen positive	Interaction with DNA 	Geminal Polyhaloalkane Derivatives	Undetermined (0 <n< 10)	 	 	Out of Domain
1763-23-1	PFOS (Perfluorooctansulfonate)	OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	N/A	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	Geminal Polyhaloalkane Derivatives	Undetermined (0 <n< 10)	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	 	 	 	 	 	 	N/A	in vivo Liver Clastogen positive	Interaction with DNA 	Geminal Polyhaloalkane Derivatives	Undetermined (0 <n< 10)	 	 	Out of Domain
*-48-8	pH	 																													
15323-35-0	Phantolide	CC1C(C)(C)c2cc(C)c(C(C)=O)cc2C1(C)C	0.1543	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	53.85%	0.00%	46.15%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.1543	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
62-44-2	Phenacetin	CCOc1ccc(NC(C)=O)cc1	0.1893	in vivo Liver Clastogen negative	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	Belongs to deacivated path	43. N-Arylacetamides;44. N-Arylacetamides	In domain	100.00%	0.00%	0.00%	In domain	In domain	in vivo Liver Clastogen negative	in vitro CA positive	Interactions with topoisomerases / proteins	"Substituted Phenols,Carboxylic Acid Amides"	Undetermined (0 <n< 10)	Belongs to deacivated path	0.1893	in vivo Liver Clastogen negative	Interactions with topoisomerases / proteins	"Substituted Phenols,Carboxylic Acid Amides"	Undetermined (0 <n< 10)	Belongs to deacivated path	 	In domain
85-01-8	Phenanthrene	c1cccc2ccc3ccccc3c12	0.1221	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Polycyclic Aromatic Hydrocarbon and Naphthalenediimide Derivatives	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	Epoxides and Aziridines	Undetermined (0 <n< 10)	 	0.1221	in vivo Liver Clastogen positive	Interaction with DNA 	Epoxides and Aziridines	Undetermined (0 <n< 10)	 	 	Out of Domain
60-80-0	Phenazone	CC1=CC(=O)N(c2ccccc2)N1C	0.2693	No data	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Pyrazolone and Pyrazolidine Derivatives	Undetermined (0 <n< 10)	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Pyrazolone and Pyrazolidine Derivatives	Undetermined (0 <n< 10)	 	0.2693	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Pyrazolone and Pyrazolidine Derivatives	Undetermined (0 <n< 10)	 	 	Out of Domain
